index,ADC,Channel,TPC,Detector,TrapType
0,0,4,0,0,0
1,0,5,0,0,0
2,0,6,0,0,0
3,0,7,0,0,0
4,0,8,0,0,0
5,0,9,0,0,0
6,1,4,0,1,1
7,1,5,0,1,1
8,1,6,0,2,1
9,1,7,0,2,1
10,1,8,0,3,1
11,1,9,0,3,1
12,0,10,0,4,0
13,0,11,0,4,0
14,0,12,0,4,0
15,0,13,0,4,0
16,0,14,0,4,0
17,0,15,0,4,0
18,1,10,0,5,1
19,1,11,0,5,1
20,1,12,0,6,1
21,1,13,0,6,1
22,1,14,0,7,1
23,1,15,0,7,1
24,0,20,0,8,0
25,0,21,0,8,0
26,0,22,0,8,0
27,0,23,0,8,0
28,0,24,0,8,0
29,0,25,0,8,0
30,1,20,0,9,1
31,1,21,0,9,1
32,1,22,0,10,1
33,1,23,0,10,1
34,1,24,0,11,1
35,1,25,0,11,1
36,0,26,0,12,0
37,0,27,0,12,0
38,0,28,0,12,0
39,0,29,0,12,0
40,0,30,0,12,0
41,0,31,0,12,0
42,1,26,0,13,1
43,1,27,0,13,1
44,1,28,0,14,1
45,1,29,0,14,1
46,1,30,0,15,1
47,1,31,0,15,1
48,0,52,1,0,0
49,0,53,1,0,0
50,0,54,1,0,0
51,0,55,1,0,0
52,0,56,1,0,0
53,0,57,1,0,0
54,1,52,1,1,1
55,1,53,1,1,1
56,1,54,1,2,1
57,1,55,1,2,1
58,1,56,1,3,1
59,1,57,1,3,1
60,0,58,1,4,0
61,0,59,1,4,0
62,0,60,1,4,0
63,0,61,1,4,0
64,0,62,1,4,0
65,0,63,1,4,0
66,1,58,1,5,1
67,1,59,1,5,1
68,1,60,1,6,1
69,1,61,1,6,1
70,1,62,1,7,1
71,1,63,1,7,1
72,0,36,1,8,0
73,0,37,1,8,0
74,0,38,1,8,0
75,0,39,1,8,0
76,0,40,1,8,0
77,0,41,1,8,0
78,1,36,1,9,1
79,1,37,1,9,1
80,1,38,1,10,1
81,1,39,1,10,1
82,1,40,1,11,1
83,1,41,1,11,1
84,0,42,1,12,0
85,0,43,1,12,0
86,0,44,1,12,0
87,0,45,1,12,0
